GENE	synRVIS	synRVIS.centile	synRVIS_RSCU	synRVIS_RSCU.centile	synGERP	synGERP.centile
CPA1	0.68	0.8	0.44	0.74	-0.66	0.49
CPA2	-0.65	0.17	0.34	0.71	-0.26	0.35
CPA3	-0.5	0.28	0.5	0.76	-0.8	0.54
CPA4	1.85	0.95	0.37	0.72	-1.17	0.68
CPA5	0.76	0.82	0.53	0.77	-0.5	0.43
CPA6	-0.53	0.25	-0.57	0.22	0.62	0.14
CPAMD8	0.33	0.72	1.86	0.96	-1.34	0.73
CPB1	-0.55	0.23	-0.6	0.2	-1.26	0.71
CPB2	0.66	0.79	2.5	0.98	-0.44	0.41
CPD	-1.12	0.04	-0.16	0.59	0.64	0.13
CPE	-0.45	0.32	0.56	0.78	-1.59	0.8
CPEB1	-0.62	0.19	-0.67	0.16	0.26	0.2
CPEB2	0.71	0.81	1.52	0.93	1.22	0.07
CPEB3	-0.55	0.23	-0.6	0.2	1.33	0.06
CPEB4	-0.85	0.09	-0.92	0.08	0.64	0.13
CPED1	0.08	0.69	-0.21	0.56	-0.66	0.49
CPLX1	-0.26	0.52	-0.29	0.48	-0.91	0.59
CPLX2	-0.18	0.61	-0.2	0.57	-0.74	0.52
CPLX3	-0.24	0.55	-0.27	0.5	0.39	0.18
CPLX4	-0.2	0.59	-0.22	0.55	-2.75	0.97
CPM	-0.49	0.28	-0.54	0.25	-1.19	0.68
CPN1	1.7	0.94	1.25	0.9	-0.74	0.52
CPN2	0.27	0.71	-0.01	0.64	-1.01	0.62
CPNE1	-0.56	0.23	0.44	0.74	0.03	0.26
CPNE2	0.5	0.75	0.25	0.69	-0.68	0.5
CPNE3	-0.56	0.23	0.44	0.74	-0.26	0.35
CPNE4	-0.8	0.11	0.18	0.67	-0.74	0.52
CPNE5	0.51	0.75	0.26	0.69	-0.42	0.4
CPNE6	0.52	0.75	0.27	0.69	-0.47	0.42
CPNE7	-0.65	0.17	0.34	0.71	-1.01	0.62
CPNE8	1.88	0.95	-0.64	0.18	-1.2	0.68
CPNE9	-0.66	0.16	-0.72	0.14	0.32	0.19
CPO	-0.48	0.29	0.52	0.77	-0.71	0.51
CPOX	-0.51	0.27	-0.55	0.24	-1.13	0.66
CPPED1	-0.45	0.32	-0.49	0.28	-2.44	0.94
CPQ	0.76	0.82	-0.52	0.26	-0.84	0.56
CPS1	0.67	0.79	-1.95	0.01	-0.3	0.36
CPSF1	-2.07	0.01	-1.19	0.04	-1.5	0.78
CPSF2	-0.78	0.11	-0.84	0.1	-1.7	0.83
CPSF3	-0.73	0.13	-0.79	0.11	-1.34	0.73
CPSF3L	-0.77	0.12	0.21	0.68	-1.2	0.69
CPSF4	-0.36	0.42	-0.39	0.38	0.73	0.12
CPSF6	0.58	0.77	-0.72	0.14	1.94	0.02
CPSF7	0.7	0.8	-0.59	0.21	2.02	0.02
CPT1A	0.11	0.69	-0.17	0.59	-3.71	0.99
CPT1B	0.23	0.7	-0.05	0.64	-1.04	0.63
CPT1C	-1	0.06	-0.04	0.64	-1.87	0.86
CPT2	-0.92	0.08	-0.99	0.07	-1.07	0.64
CPVL	-0.56	0.23	-0.61	0.2	-1.63	0.81
CPXCR1	-0.28	0.5	-0.31	0.46	-0.44	0.41
CPXM1	0.3	0.71	0.03	0.65	-0.91	0.59
CPXM2	2.9	0.98	4.34	1	-1.38	0.74
CPZ	1.43	0.92	2	0.96	-1.27	0.71
CR1	-0.59	0.2	-0.93	0.08	-1.13	0.66
CR1L	0.46	0.74	-0.84	0.1	-0.87	0.57
CR2	-1.23	0.03	-1.33	0.03	-0.87	0.57
CRABP1	-0.21	0.58	-0.23	0.54	-0.33	0.37
CRABP2	-0.24	0.55	-0.27	0.5	-0.67	0.49
CRADD	0.82	0.84	0.59	0.8	-1.17	0.68
CRAMP1L	0.03	0.68	1.83	0.96	-2.59	0.96
CRAT	1.63	0.93	1.17	0.89	-1.12	0.66
CRB1	-1.68	0.01	-1.81	0.01	-1.7	0.83
CRB2	1.19	0.91	-0.35	0.42	-1.08	0.65
CRB3	-0.21	0.58	-0.23	0.54	-0.67	0.5
CRBN	-0.59	0.2	0.4	0.73	-0.94	0.6
CRCP	1.01	0.89	0.8	0.86	-1.48	0.77
CRCT1	1.13	0.91	0.92	0.88	-1.92	0.87
CREB1	-0.44	0.33	0.56	0.78	1.88	0.03
CREB3	-0.47	0.3	-0.51	0.27	-0.5	0.43
CREB3L1	-0.49	0.29	0.51	0.77	0.14	0.23
CREB3L2	0.63	0.78	0.39	0.73	-1.44	0.76
CREB3L3	-0.54	0.24	-0.59	0.21	-2.46	0.95
CREB3L4	-0.42	0.35	-0.46	0.32	0.03	0.26
CREB5	-0.65	0.17	-0.71	0.15	0.09	0.24
CREBBP	0.23	0.7	0.42	0.74	-0.68	0.5
CREBL2	-0.16	0.62	-0.18	0.58	-0.32	0.37
CREBRF	-0.63	0.18	-0.69	0.15	0.58	0.14
CREBZF	1.85	0.95	1.41	0.92	0.51	0.15
CREG1	-0.12	0.65	-0.14	0.61	-0.5	0.43
CREG2	-0.25	0.54	-0.27	0.5	-0.42	0.4
CRELD1	-0.49	0.29	0.51	0.77	-0.12	0.3
CRELD2	0.69	0.8	1.49	0.93	-2.56	0.95
CREM	0.88	0.86	-0.39	0.38	1.2	0.07
CRH	-0.17	0.62	-0.19	0.58	0.46	0.16
CRHBP	-0.31	0.47	-0.34	0.43	-0.59	0.46
CRHR1	0.78	0.83	0.54	0.78	0.25	0.21
CRHR2	-0.37	0.41	-0.4	0.37	-0.26	0.35
CRIM1	-0.31	0.47	-0.63	0.19	-0.08	0.29
CRIP1	-0.16	0.63	-0.17	0.59	-1.51	0.78
CRIP2	0.96	0.88	-0.3	0.46	-1.3	0.72
CRIP3	-0.26	0.53	-0.28	0.49	0.47	0.16
CRIPAK	-0.77	0.12	-0.84	0.1	-0.54	0.45
CRIPT	-0.14	0.64	-0.16	0.6	-0.31	0.36
CRISP1	-0.34	0.44	-0.37	0.4	-1.84	0.86
CRISP2	-0.29	0.49	-0.32	0.45	-0.88	0.58
CRISP3	-0.41	0.36	-0.45	0.32	-2.17	0.91
CRISPLD1	-0.45	0.32	-0.49	0.29	0.1	0.24
CRISPLD2	-0.86	0.09	-0.94	0.08	-2.59	0.96
CRK	-0.42	0.35	-0.46	0.32	3.61	0
CRKL	-0.58	0.21	-0.63	0.18	0.15	0.23
CRLF1	0.84	0.85	0.61	0.8	-1.11	0.66
CRLF3	-0.45	0.32	-0.49	0.29	-0.28	0.36
CRLS1	-0.24	0.55	-0.26	0.51	1.24	0.07
CRMP1	-0.9	0.08	-0.98	0.07	-0.94	0.6
CRNKL1	-0.9	0.08	-0.97	0.07	-0.91	0.59
CRNN	0.54	0.76	0.29	0.7	-1.65	0.82
CROCC	0.87	0.86	0.35	0.72	-0.76	0.53
CROT	-0.61	0.19	-0.67	0.17	-0.38	0.39
CRP	-0.3	0.48	-0.33	0.44	-2.08	0.9
CRTAC1	1.75	0.94	1.3	0.91	0.47	0.16
CRTAM	-0.5	0.28	0.5	0.76	-1.87	0.86
CRTAP	-0.44	0.33	0.56	0.78	-0.58	0.46
CRTC1	-0.83	0.1	0.14	0.67	-1.27	0.71
CRTC2	-0.88	0.09	-0.95	0.07	0.81	0.11
CRTC3	-0.91	0.08	0.06	0.65	-1.59	0.8
CRX	-0.55	0.24	-0.59	0.21	-1.54	0.79
CRY1	-0.7	0.14	-0.76	0.13	0.22	0.21
CRY2	-0.76	0.12	-0.82	0.1	-0.34	0.37
CRYAA	-0.39	0.38	0.61	0.8	0.06	0.25
CRYAB	1.05	0.9	0.84	0.86	1.43	0.05
CRYBA1	-0.34	0.44	0.68	0.82	1.46	0.05
CRYBA2	-0.28	0.51	-0.3	0.46	0.04	0.26
CRYBA4	-0.37	0.41	-0.4	0.37	-0.73	0.52
CRYBB1	-0.41	0.36	-0.45	0.32	-1.87	0.86
CRYBB2	0.91	0.87	-0.35	0.41	-1.02	0.62
CRYBB3	-0.38	0.39	-0.42	0.35	-1.01	0.62
CRYGA	-0.34	0.44	-0.37	0.4	-0.43	0.41
CRYGB	-0.32	0.46	-0.34	0.42	0.85	0.1
CRYGC	-0.33	0.45	-0.36	0.41	0.65	0.13
CRYGD	-0.3	0.49	-0.32	0.44	0.15	0.23
CRYGN	0.94	0.88	0.72	0.84	-1.13	0.66
CRYGS	-0.24	0.55	-0.27	0.5	-0.3	0.36
CRYL1	0.78	0.83	0.55	0.78	-2.73	0.96
CRYM	-0.31	0.47	-0.34	0.43	-0.24	0.34
CRYZ	2.08	0.96	0.61	0.8	-1.66	0.82
CRYZL1	-0.39	0.38	-0.43	0.34	-0.03	0.28
CS	0.88	0.86	0.66	0.82	1.06	0.08
CSAD	0.71	0.81	0.47	0.75	-0.39	0.39
CSAG1	-0.14	0.64	-0.16	0.6	-0.21	0.33
CSDC2	-0.26	0.52	-0.29	0.48	-1.63	0.81
CSDE1	-0.86	0.09	-0.93	0.08	3.24	0
CSE1L	-1.16	0.04	-0.21	0.56	0.04	0.26
CSF1	-0.67	0.16	-0.73	0.14	-0.03	0.28
CSF1R	1.15	0.91	2.74	0.98	-0.82	0.55
CSF2	-0.23	0.56	-0.25	0.52	-0.05	0.28
CSF2RA	1.79	0.94	0.31	0.7	-1	0.62
CSF2RB	1.3	0.91	0.82	0.86	-1.95	0.88
CSF3	1.02	0.89	0.81	0.86	-0.77	0.53
CSF3R	-1.05	0.05	-0.09	0.63	-0.12	0.3
CSGALNACT1	-0.89	0.08	-0.97	0.07	-2.28	0.93
CSGALNACT2	-0.69	0.15	-0.75	0.13	0.31	0.19
CSH1	-0.19	0.6	-0.21	0.56	-0.16	0.31
CSH2	-0.25	0.54	-0.27	0.5	-0.14	0.31
CSHL1	-0.38	0.39	-0.42	0.35	-0.11	0.3
CSK	0.5	0.75	1.29	0.9	-0.02	0.28
CSMD1	-0.02	0.68	-2.23	0.01	-4.83	1
CSMD3	-1.81	0.01	-0.45	0.33	0.4	0.18
CSN1S1	-0.18	0.61	-0.2	0.56	-0.45	0.41
CSN2	-0.37	0.41	-0.4	0.37	-0.97	0.61
CSN3	-0.3	0.49	0.72	0.84	-0.42	0.4
CSNK1A1	-0.48	0.29	-0.52	0.26	3.09	0
CSNK1A1L	-0.53	0.25	-0.57	0.22	0.01	0.26
CSNK1D	0.68	0.8	0.44	0.74	-0.43	0.4
CSNK1E	-0.41	0.36	0.6	0.8	0.04	0.26
CSNK1G1	-0.55	0.24	-0.59	0.21	1.79	0.03
CSNK1G2	0.82	0.84	0.59	0.8	-0.68	0.5
CSNK1G3	-0.46	0.31	-0.5	0.28	1.46	0.05
CSNK2A1	-0.48	0.29	0.52	0.77	2.41	0.01
CSNK2A2	-0.3	0.48	-0.33	0.44	1.15	0.07
CSNK2A3	0.84	0.85	-0.44	0.33	-0.23	0.34
CSNK2B	-0.26	0.52	-0.29	0.48	1.11	0.08
CSPG4	-0.45	0.31	2.06	0.96	-2.22	0.92
CSPG5	-0.57	0.22	-0.62	0.19	-0.53	0.44
CSPP1	-1.16	0.04	-1.26	0.03	0.64	0.13
CSRNP1	0.46	0.74	1.24	0.9	-1.89	0.87
CSRNP2	-0.59	0.21	0.41	0.73	-0.47	0.42
CSRNP3	0.42	0.73	-0.89	0.09	-1.13	0.66
CSRP1	0.95	0.88	0.74	0.84	-1.43	0.76
CSRP2	-0.29	0.49	-0.32	0.45	-1.51	0.78
CSRP2BP	0.21	0.7	0.98	0.88	-3.4	0.99
CSRP3	-0.37	0.4	-0.41	0.36	-1.35	0.73
CST1	0.93	0.87	0.71	0.83	-0.82	0.55
CST11	-0.23	0.56	0.79	0.86	-2.13	0.91
CST2	-0.28	0.5	-0.31	0.46	-0.95	0.6
CST3	-0.15	0.64	-0.17	0.59	-1.75	0.84
CST4	2.14	0.97	1.72	0.95	-1.03	0.63
CST5	-0.25	0.54	-0.27	0.5	-0.82	0.55
CST6	-0.18	0.61	-0.2	0.57	-1.68	0.82
CST7	-0.24	0.55	-0.26	0.51	-1.46	0.77
CST8	-0.28	0.5	0.74	0.84	-0.94	0.6
CST9	-0.25	0.54	-0.27	0.5	-2.2	0.92
CST9L	-0.23	0.56	-0.25	0.52	-1.1	0.65
CSTA	-0.16	0.63	-0.17	0.59	-1.92	0.87
CSTB	-0.15	0.64	-0.17	0.59	-3.81	1
CSTF1	-0.79	0.11	-0.86	0.09	-3.02	0.98
CSTF2	0.81	0.84	-0.47	0.31	1.03	0.09
CSTF2T	-0.73	0.13	-0.79	0.12	-1.34	0.73
CSTF3	0.63	0.78	-0.66	0.17	0.49	0.16
CSTL1	-0.25	0.54	-0.27	0.5	-1.86	0.86
CT45A5	-0.2	0.59	0.83	0.86	-0.86	0.57
CT47B1	-0.48	0.29	-0.52	0.26	-1.38	0.74
CT55	-0.16	0.62	-0.18	0.58	-1.31	0.72
CT62	-0.18	0.61	-0.2	0.56	-0.89	0.58
CT83	-0.14	0.65	-0.15	0.6	-0.67	0.49
CTAG2	0.95	0.88	0.73	0.84	-2.56	0.95
CTAGE1	0.29	0.71	0.01	0.65	-0.02	0.28
CTAGE4	-0.14	0.65	-0.15	0.6	-0.01	0.27
CTAGE5	-0.8	0.11	-0.87	0.09	0.75	0.12
CTAGE6	-0.13	0.65	-0.15	0.61	0.03	0.26
CTAGE9	-0.36	0.42	-0.39	0.38	0	0.27
CTBP1	-0.51	0.27	-0.55	0.24	-1.86	0.86
CTBP2	-1.43	0.02	0.54	0.78	-2.05	0.9
CTBS	3.44	0.99	-0.3	0.46	0.27	0.2
CTC1	-0.27	0.51	-1.63	0.01	-0.77	0.54
CTCF	-0.99	0.06	-1.07	0.05	1.47	0.05
CTCFL	-0.89	0.08	0.08	0.66	-2.83	0.97
CTDNEP1	0.87	0.86	0.65	0.82	1.99	0.02
CTDP1	0.09	0.69	1.9	0.96	-2.98	0.98
CTDSP1	0.7	0.8	1.5	0.93	-0.92	0.59
CTDSP2	-0.39	0.39	-0.42	0.35	0.96	0.09
CTDSPL	-0.38	0.39	-0.42	0.35	0.02	0.26
CTDSPL2	0.77	0.83	-0.51	0.27	2.76	0.01
CTF1	1.13	0.91	0.93	0.88	0.42	0.17
CTGF	-0.34	0.44	-0.37	0.4	-0.51	0.43
CTH	-0.49	0.29	-0.53	0.25	-1.32	0.72
CTHRC1	-0.26	0.52	-0.29	0.48	-1.45	0.77
CTIF	1.67	0.93	1.22	0.9	-0.23	0.34
CTLA4	-0.29	0.49	-0.32	0.45	-0.67	0.49
CTNNA1	-1.13	0.04	-1.22	0.04	-0.36	0.38
CTNNA2	-1.25	0.03	-1.35	0.03	-0.58	0.46
CTNNA3	0.19	0.7	0.95	0.88	-0.43	0.4
CTNNAL1	0.6	0.77	0.35	0.72	0.14	0.23
CTNNB1	0.35	0.72	0.09	0.66	-0.02	0.28
CTNNBIP1	-0.13	0.65	-0.15	0.61	0.12	0.23
CTNNBL1	-0.61	0.19	-0.66	0.17	-0.7	0.51
CTNND1	-0.92	0.08	-0.99	0.07	0.56	0.15
CTNND2	0.9	0.87	-1.7	0.01	0.39	0.18
CTNS	1.82	0.95	0.34	0.71	-0.17	0.32
CTPS1	-0.75	0.13	-0.81	0.11	-1.39	0.74
CTPS2	-0.51	0.27	-0.55	0.24	-1.61	0.81
CTR9	-1.43	0.02	-1.55	0.02	-0.3	0.36
CTRB1	-0.13	0.65	0.9	0.87	-1.47	0.77
CTRB2	-0.19	0.6	0.84	0.86	-1.08	0.65
CTRC	-0.35	0.43	-0.38	0.39	-1.11	0.66
CTRL	-0.31	0.47	-0.34	0.43	-1.65	0.82
CTSA	0.71	0.81	-0.57	0.22	-0.75	0.53
CTSB	-0.65	0.17	-0.71	0.15	-2.2	0.92
CTSC	0.65	0.79	0.41	0.73	-1.89	0.87
CTSD	-0.69	0.15	0.3	0.7	-1.19	0.68
CTSE	-0.48	0.29	-0.52	0.26	-1.07	0.64
CTSF	-0.57	0.22	-0.62	0.19	-0.39	0.39
CTSG	0.88	0.86	0.66	0.82	-1.62	0.81
CTSH	-0.3	0.49	-0.32	0.44	-1.77	0.84
CTSK	0.84	0.85	-0.43	0.34	0.42	0.17
CTSL	-0.39	0.38	-0.43	0.34	-1.29	0.72
CTSO	-0.3	0.48	-0.33	0.44	-2.1	0.9
CTSS	-0.37	0.4	-0.41	0.36	-0.53	0.44
CTSV	-0.42	0.35	-0.46	0.32	-0.91	0.59
CTSW	-0.49	0.28	-0.54	0.25	-1.06	0.64
CTSZ	-0.42	0.35	0.59	0.79	-2.12	0.91
CTTN	1.66	0.93	1.21	0.9	-3.38	0.99
CTTNBP2	-1.82	0.01	-1.97	0.01	0.06	0.25
CTTNBP2NL	0.46	0.74	0.2	0.68	-1.66	0.82
CTU2	0.33	0.72	1.1	0.89	-2.2	0.92
CTXN1	-0.08	0.67	-0.1	0.63	0.82	0.11
CTXN3	-0.18	0.61	-0.2	0.56	-1.02	0.62
CUBN	1.71	0.94	0.39	0.73	-2.36	0.94
CUEDC1	2	0.96	1.57	0.94	-0.94	0.6
CUEDC2	0.82	0.84	0.59	0.8	0.24	0.21
CUL1	-0.98	0.06	-1.07	0.05	-2.47	0.95
CUL2	0.53	0.75	-0.77	0.12	0.38	0.18
CUL3	-0.82	0.1	0.16	0.67	2.25	0.01
CUL4A	-0.88	0.08	-0.96	0.07	-3.15	0.98
CUL4B	-0.71	0.14	-0.77	0.12	1.74	0.03
CUL5	-0.8	0.11	-0.87	0.09	1.9	0.02
CUL7	-1.06	0.05	-0.4	0.37	-0.4	0.4
CUL9	0.47	0.74	0.68	0.82	-0.22	0.34
CUTA	-0.2	0.59	-0.22	0.54	-0.13	0.31
CUTC	-0.3	0.49	0.72	0.84	0.73	0.12
CUX1	0.63	0.78	2.19	0.97	-0.57	0.46
CUX2	-0.37	0.4	-0.69	0.15	-0.95	0.6
CUZD1	-0.67	0.16	-0.73	0.14	-1.79	0.85
CWC22	-0.69	0.15	-0.74	0.13	0.06	0.25
CWC25	-0.42	0.35	-0.46	0.32	-1.49	0.77
CWC27	-0.3	0.49	-0.32	0.44	0.62	0.14
CWF19L1	-0.55	0.23	-0.6	0.2	0.66	0.13
CWF19L2	-0.55	0.23	0.44	0.74	-0.01	0.27
CWH43	-0.86	0.09	-0.93	0.08	-1.28	0.71
CX3CL1	-0.55	0.24	-0.59	0.21	-2.4	0.94
CX3CR1	-0.64	0.17	-0.69	0.15	-1.85	0.86
CXADR	-0.39	0.39	-0.42	0.35	-1.44	0.76
CXCL1	1.05	0.9	-0.21	0.56	-1.22	0.69
CXCL10	-0.17	0.62	-0.19	0.58	-0.14	0.31
CXCL11	-0.16	0.62	-0.18	0.58	-0.77	0.54
CXCL12	-0.18	0.61	-0.2	0.57	0.19	0.22
CXCL13	-0.14	0.65	-0.15	0.6	-1.21	0.69
CXCL14	-0.15	0.64	-0.17	0.59	1.95	0.02
CXCL16	0.87	0.86	1.69	0.95	-2.04	0.9
CXCL17	-0.17	0.62	-0.19	0.58	0.49	0.16
CXCL2	-0.2	0.59	-0.22	0.54	-1	0.62
CXCL3	-0.16	0.62	-0.18	0.58	-0.86	0.57
CXCL5	-0.16	0.62	-0.18	0.58	-1.05	0.64
CXCL6	-0.18	0.61	-0.2	0.56	-1.24	0.7
CXCL9	-0.2	0.59	-0.22	0.55	0.25	0.21
CXCR1	-0.61	0.19	-0.67	0.17	-0.32	0.37
CXCR2	1.83	0.95	2.43	0.97	-0.15	0.31
CXCR3	-0.33	0.45	-0.36	0.41	-1.06	0.64
CXCR4	0.8	0.83	0.56	0.78	-0.83	0.56
CXCR5	1.98	0.96	2.6	0.98	-0.28	0.35
CXCR6	-0.57	0.22	-0.62	0.19	-0.74	0.52
CXorf21	-0.3	0.49	-0.32	0.44	0.06	0.25
CXorf22	2.96	0.98	0.23	0.69	-0.79	0.54
CXorf23	-0.47	0.3	-0.51	0.27	1.4	0.05
CXorf27	-0.16	0.63	-0.17	0.59	-3.74	0.99
CXorf36	-0.43	0.34	0.57	0.79	-0.69	0.5
CXorf38	-0.22	0.57	-0.24	0.52	-0.06	0.29
CXorf40A	-0.22	0.57	-0.24	0.52	-2.32	0.93
CXorf40B	0.99	0.89	0.78	0.85	-1.57	0.8
CXorf56	-0.2	0.59	0.83	0.86	-0.19	0.32
CXorf57	-0.71	0.14	-0.77	0.12	0.39	0.18
CXorf58	-0.32	0.46	0.7	0.83	-0.26	0.35
CXorf65	-0.23	0.56	-0.25	0.52	0.01	0.26
CXorf66	-0.38	0.39	-0.42	0.35	-0.83	0.56
CXXC1	0.41	0.73	0.15	0.67	-0.72	0.51
CXXC11	0.62	0.78	1.42	0.92	-1.33	0.73
CXXC4	-0.35	0.43	-0.38	0.39	1.43	0.05
CXXC5	-0.51	0.27	-0.55	0.24	-0.1	0.3
CYB561	-0.21	0.58	-0.23	0.54	-1.4	0.75
CYB561A3	-0.29	0.49	-0.32	0.45	-0.76	0.53
CYB561D1	-0.28	0.5	-0.31	0.46	0.45	0.17
CYB561D2	-0.41	0.36	-0.45	0.32	0.64	0.14
CYB5A	0.99	0.89	0.78	0.85	-2.39	0.94
CYB5B	-0.18	0.61	0.84	0.87	0.2	0.22
CYB5D1	-0.32	0.46	-0.35	0.41	-0.66	0.49
CYB5D2	-0.53	0.25	-0.58	0.22	-1.45	0.76
CYB5R1	-0.47	0.3	-0.52	0.27	0.53	0.15
CYB5R2	-0.39	0.38	-0.43	0.34	-0.24	0.34
CYB5R3	-0.39	0.38	-0.43	0.34	-1.03	0.63
CYB5R4	-0.55	0.24	-0.59	0.21	1.28	0.06
CYB5RL	0.85	0.85	0.63	0.81	-0.69	0.5
CYBA	-0.08	0.67	-0.09	0.63	-2.24	0.92
CYBB	0.75	0.82	0.51	0.77	0.28	0.2
CYBRD1	-0.32	0.46	-0.35	0.41	0.25	0.21
CYC1	-0.49	0.28	-0.54	0.25	-0.38	0.39
CYCS	-0.2	0.59	-0.22	0.54	0.62	0.14
CYFIP1	-0.65	0.17	1.1	0.89	-1.98	0.89
CYGB	0.99	0.89	-0.27	0.5	0.08	0.24
CYHR1	-0.2	0.59	0.82	0.86	0.17	0.22
CYLC1	-0.44	0.33	-0.48	0.3	0.38	0.18
CYLC2	-0.45	0.32	0.55	0.78	-1.8	0.85
CYLD	-1.12	0.04	-0.16	0.59	-1.18	0.68
CYP11A1	0.61	0.77	0.36	0.72	-1.84	0.86
CYP11B1	0.28	0.71	1.05	0.89	-1.41	0.75
CYP11B2	0.46	0.74	0.2	0.68	-1.29	0.71
CYP17A1	-0.61	0.19	0.38	0.72	-1.38	0.74
CYP19A1	-0.68	0.15	0.31	0.7	-0.77	0.53
CYP1A1	-0.69	0.15	-0.74	0.13	-1.03	0.63
CYP1A2	0.38	0.72	0.11	0.66	-1.28	0.71
CYP1B1	-0.59	0.2	-0.64	0.18	-0.85	0.57
CYP20A1	-0.47	0.3	-0.52	0.27	0.35	0.18
CYP21A2	2.08	0.96	2.7	0.98	-0.97	0.61
CYP24A1	0.68	0.8	-0.61	0.2	-2.04	0.9
CYP26A1	-0.71	0.14	-0.77	0.12	0	0.27
CYP26B1	-0.83	0.1	-0.9	0.08	0.36	0.18
CYP26C1	0.96	0.88	0.74	0.84	-0.35	0.38
CYP27A1	-0.67	0.16	-0.73	0.14	-0.54	0.45
CYP27B1	-0.75	0.13	-0.81	0.11	-0.94	0.6
CYP27C1	0.7	0.8	0.46	0.75	-1.22	0.69
CYP2A13	-0.74	0.13	-0.8	0.11	-1.58	0.8
CYP2A6	2.8	0.98	3.19	0.99	-1.42	0.76
CYP2A7	-0.86	0.09	0.11	0.66	-1.44	0.76
CYP2B6	-0.77	0.12	-0.83	0.1	-2.88	0.97
CYP2C18	0.53	0.75	-0.77	0.12	-1.11	0.66
CYP2C19	0.62	0.78	0.37	0.72	-1.9	0.87
CYP2C8	-0.42	0.35	0.59	0.79	-2.21	0.92
CYP2C9	-0.82	0.1	0.16	0.67	-1.2	0.68
CYP2D6	1.68	0.93	1.22	0.9	-1.73	0.83
CYP2E1	-0.64	0.17	-0.69	0.15	-2.65	0.96
CYP2F1	0.64	0.78	2.48	0.98	-1.51	0.78
CYP2J2	1.85	0.95	0.36	0.72	-1.93	0.87
CYP2R1	0.67	0.79	0.43	0.74	0.43	0.17
CYP2S1	-0.49	0.28	0.51	0.77	-1.65	0.82
CYP2U1	-0.49	0.28	-0.54	0.25	-1.4	0.75
CYP2W1	-0.36	0.41	0.65	0.82	-2.29	0.93
CYP39A1	-0.54	0.24	-0.59	0.21	-0.27	0.35
CYP3A4	-0.54	0.24	-0.59	0.21	-1.1	0.65
CYP3A43	-0.43	0.34	-0.47	0.31	-0.94	0.6
CYP3A5	0.61	0.77	-0.68	0.16	-1.51	0.78
CYP3A7	-0.59	0.21	-0.64	0.18	-1.18	0.68
CYP46A1	-0.6	0.2	-0.65	0.17	-0.78	0.54
CYP4A11	0.68	0.8	0.44	0.74	-1.43	0.76
CYP4A22	-0.66	0.16	-0.72	0.14	-0.3	0.36
CYP4B1	0.75	0.82	0.51	0.77	-1.29	0.71
CYP4F11	-0.75	0.13	0.24	0.69	-1.36	0.74
CYP4F12	-0.79	0.11	-0.85	0.1	-1.15	0.67
CYP4F2	-0.62	0.19	0.37	0.72	-1.08	0.65
CYP4F22	-0.7	0.14	-0.76	0.13	-2.97	0.98
CYP4F3	1.77	0.94	1.32	0.91	-1.73	0.83
CYP4V2	-0.55	0.23	1.49	0.93	-1.52	0.79
CYP4X1	-0.58	0.21	-0.63	0.18	-0.08	0.29
CYP4Z1	2	0.96	1.57	0.94	-1.27	0.71
CYP51A1	-0.51	0.26	0.49	0.76	-0.15	0.31
CYP7A1	-0.66	0.16	-0.72	0.14	-1.88	0.87
CYP7B1	-0.59	0.21	-0.64	0.18	-0.03	0.28
CYP8B1	-0.52	0.26	0.48	0.76	-2.24	0.92
CYR61	-0.45	0.32	-0.49	0.28	0.29	0.2
CYS1	-0.11	0.66	-0.12	0.62	-0.61	0.47
CYSLTR1	0.8	0.83	-0.48	0.3	0.46	0.16
CYSLTR2	0.78	0.83	1.59	0.94	-0.76	0.53
CYSTM1	-0.16	0.62	-0.18	0.58	0.97	0.09
CYTH1	-0.55	0.24	-0.59	0.21	-2.85	0.97
CYTH2	0.6	0.77	0.36	0.72	-0.79	0.54
CYTH3	-0.65	0.17	-0.71	0.15	-3.05	0.98
CYTH4	0.66	0.79	0.42	0.74	-1.15	0.67
CYTIP	-0.41	0.36	-0.45	0.32	-0.63	0.48
CYTL1	-0.12	0.65	-0.14	0.61	-1.37	0.74
CYYR1	-0.3	0.49	-0.32	0.44	-1.05	0.63
D2HGDH	0.57	0.76	0.32	0.71	-1.62	0.81
DAAM1	1.36	0.92	-0.16	0.6	-0.68	0.5
DAAM2	1.54	0.92	1.07	0.89	-0.42	0.4
DAB1	-0.69	0.15	-0.74	0.13	2.28	0.01
DAB2	-0.95	0.07	0.01	0.65	0.71	0.12
DAB2IP	0.9	0.87	0.39	0.73	-0.56	0.45
DACH1	-0.55	0.24	-0.59	0.21	1.39	0.05
DACH2	-0.42	0.35	-0.46	0.32	0.97	0.09
DACT1	0.15	0.69	0.91	0.88	-1.38	0.74
DACT3	-0.22	0.57	-0.24	0.52	-1.12	0.66
DAD1	-0.13	0.65	-0.15	0.61	1.08	0.08
DAG1	-1.35	0.02	-0.42	0.35	-1.58	0.8
DAGLA	-0.39	0.37	-0.72	0.14	-0.37	0.38
DAGLB	0.44	0.74	-0.86	0.09	-2.88	0.97
DAK	1.62	0.93	0.11	0.66	-1.3	0.72
DALRD3	-0.43	0.34	-0.47	0.31	-1.89	0.87
DAND5	-0.32	0.46	-0.35	0.41	-2.3	0.93
DAO	-0.42	0.35	-0.46	0.32	-0.82	0.55
